# Glow Strikers — SFX manifest (canonical). One clip per line:
# file | event id (AudioEngine.event name, js/audio.js SFX_BY_EVENT) | description of the sound | usage context
# Clips: MOSS-SoundEffect v2.0, 48 kHz mono Opus 96 kbps VBR, loudness-normalised (-20 LUFS), 100 steps. All clips play on the effects bus; a synthesized fallback plays while a clip loads or if it is missing.
ui-tap.opus | ui | Short soft plastic button tap, a clean UI click with a gentle snap and no reverb tail | Every UI.emit action (menus, setup, HUD buttons, results) except settings-preview and the back actions below
ui-back.opus | ui-back | Soft low wooden toggle click, a quieter descending tap for going back in a menu | Back / Leave Match / Menu / Leave Room actions (UI.emit for back, settings-back, help-back, leave, lobby-leave)
invalid-buzz.opus | invalid | Short dull electric error buzzer, a low flat buzz rejecting a wrong move | A move command rejected with move-budget-exhausted (main.js issueMove); captioned "Invalid action"
puck-strike.opus | strike | Hard plastic mallet smacking a puck across an air hockey table, sharp impact crack with a brief sliding rattle | rules 'strike' event: any mallet-puck contact that changes the puck's velocity; the synth fallback scales with strike speed
wall-bank.opus | wall | Plastic puck bouncing off a padded rink wall, quick hollow thud with a soft rebound | rules 'wall' event: puck rebounds off a side rail or an end rail outside the goal mouth
obstacle-clack.opus | obstacle | Puck clacking against a small wooden peg obstacle on a game board, bright short knock | rules 'obstacle' event: puck rebounds off a stage bumper (pillars, gates, diamonds, cross, hive layouts)
countdown-tick.opus | countdown | Single crisp metronome-like countdown tick, a clean high wooden block strike | rules 'countdown' event once per second during the 3 s pre-serve countdown; captioned "Starting in N"
go-whistle.opus | go | Short bright referee whistle blast signaling the start of play | rules 'serve' event: the opening serve and every serve after a goal pause; HUD banner "GO"; captioned "Go!"
goal-horn.opus | goal | Arena goal horn blast with a swelling crowd cheer, triumphant scoring moment | rules 'goal' event for either scorer; caption "Goal for you!" or "Goal conceded"
win-fanfare.opus | win | Triumphant short brass fanfare flourish, rising major-key stadium victory stinger | endMatch when player 0 wins (solo) or the local seat wins (hosted); non-match lessons completed; captioned "Victory"
lose-sting.opus | lose | Descending muted trombone wah-wah defeat sting, comical sad ending | endMatch when player 0 loses (solo) or the local seat loses (hosted); captioned "Defeat"
achievement-chime.opus | achievement | Bright two-note glockenspiel achievement chime with a light magical sparkle | Platform.unlock succeeds inside resolveProgression; captioned "Achievement unlocked"
overtime-siren.opus | overtime | Rising arena siren wail, a tense hockey overtime alarm building urgency | rules 'overtime' event when a timed match expires tied with overtime enabled; HUD banner "OVERTIME"; captioned "Overtime — golden goal"
budget-empty.opus | budget | Hollow coin-empty clunk, a dull mechanical thunk for running out of moves | rules 'budget-exhausted' event for player 0 in move-budget stages/challenges; captioned "Move budget exhausted"
clock-warning.opus | clock-warning | Urgent electronic double beep alarm, two quick high pips from a digital sports scoreboard timer warning that time is nearly up | Once per match when a timed match's remaining clock first drops to 10 s (main.js updateHud); captioned "10 seconds left"
save-block.opus | save | Solid rubbery thump of a plastic paddle blocking a fast sliding puck, a firm padded stop with a short low resonance | Player 0's saves stat increments on a 'strike' event (deep interception of a puck heading for the home goal); captioned "Save!"
draw-sting.opus | draw | Neutral two-note synthesizer chime that ends unresolved, an even electronic tone for a tied result with a soft fade | endMatch with winner -1 (time-limit tie with overtime off, move-limit tie) and hosted draws; captioned "Draw"
undo-rewind.opus | undo | Quick reverse tape rewind zip, a short rising electronic swoosh played backwards | Successful undo in Practice/Learn (main.js doUndo); caption "Undone"
chat-ping.opus | chat | Soft glassy notification ping, a single gentle bell tone for an incoming message | Incoming hosted-play chat message (net 'chat' handler), in the lobby log and as an in-match toast
